spike times	Vanne1 ON	Vanne1 OFF
10.8771	900.0342	902.0342
11.4558	NA	NA
11.4817	NA	NA
51.7162	NA	NA
77.1677	NA	NA
77.2449	NA	NA
77.2657	NA	NA
89.1466	NA	NA
89.1579	NA	NA
96.2550	NA	NA
96.2636	NA	NA
96.2756	NA	NA
111.9937	NA	NA
128.0468	NA	NA
128.2471	NA	NA
130.4626	NA	NA
132.1109	NA	NA
132.1300	NA	NA
132.1458	NA	NA
150.6619	NA	NA
150.6982	NA	NA
150.8025	NA	NA
150.8423	NA	NA
150.8732	NA	NA
151.1568	NA	NA
172.2866	NA	NA
172.3275	NA	NA
172.3923	NA	NA
174.1155	NA	NA
174.1305	NA	NA
174.1616	NA	NA
185.9250	NA	NA
186.0127	NA	NA
193.3457	NA	NA
217.8188	NA	NA
217.8331	NA	NA
217.8764	NA	NA
284.8837	NA	NA
284.9052	NA	NA
290.7513	NA	NA
296.9668	NA	NA
298.4401	NA	NA
298.5555	NA	NA
315.6079	NA	NA
329.0076	NA	NA
329.0279	NA	NA
376.1695	NA	NA
379.4792	NA	NA
391.9422	NA	NA
396.2888	NA	NA
396.3027	NA	NA
396.3127	NA	NA
396.3203	NA	NA
402.2765	NA	NA
402.3462	NA	NA
402.3751	NA	NA
402.4043	NA	NA
402.4259	NA	NA
414.7482	NA	NA
414.7656	NA	NA
415.8195	NA	NA
415.9709	NA	NA
426.5319	NA	NA
426.5458	NA	NA
426.5606	NA	NA
426.5766	NA	NA
426.6013	NA	NA
442.9220	NA	NA
443.6895	NA	NA
445.8583	NA	NA
445.9145	NA	NA
445.9568	NA	NA
446.0495	NA	NA
446.6905	NA	NA
452.3748	NA	NA
467.1284	NA	NA
487.9428	NA	NA
489.1184	NA	NA
489.1379	NA	NA
490.2275	NA	NA
495.8797	NA	NA
495.8924	NA	NA
505.6631	NA	NA
505.6977	NA	NA
505.7584	NA	NA
505.7745	NA	NA
530.2065	NA	NA
539.1051	NA	NA
539.1179	NA	NA
539.1604	NA	NA
539.2100	NA	NA
539.2297	NA	NA
563.2258	NA	NA
565.8698	NA	NA
578.4367	NA	NA
578.4501	NA	NA
578.4778	NA	NA
580.6064	NA	NA
580.6339	NA	NA
580.7606	NA	NA
580.7768	NA	NA
609.3011	NA	NA
621.2742	NA	NA
636.0445	NA	NA
636.0912	NA	NA
660.0297	NA	NA
732.5227	NA	NA
732.5430	NA	NA
771.4231	NA	NA
820.2445	NA	NA
831.6365	NA	NA
831.7916	NA	NA
886.8293	NA	NA
886.8585	NA	NA
886.8972	NA	NA
886.9228	NA	NA
900.0576	NA	NA
900.0629	NA	NA
900.0674	NA	NA
900.0716	NA	NA
900.0752	NA	NA
900.0789	NA	NA
900.0828	NA	NA
900.0868	NA	NA
900.0906	NA	NA
900.0946	NA	NA
900.0988	NA	NA
900.1030	NA	NA
900.1075	NA	NA
900.1124	NA	NA
900.1171	NA	NA
900.1216	NA	NA
900.1265	NA	NA
900.1322	NA	NA
900.1373	NA	NA
900.1424	NA	NA
900.1482	NA	NA
900.1537	NA	NA
900.1601	NA	NA
900.1669	NA	NA
900.1741	NA	NA
900.1827	NA	NA
900.1896	NA	NA
900.1967	NA	NA
900.2044	NA	NA
900.2132	NA	NA
900.2236	NA	NA
900.2379	NA	NA
900.2478	NA	NA
900.2604	NA	NA
900.2693	NA	NA
900.2835	NA	NA
900.2956	NA	NA
900.3090	NA	NA
900.3191	NA	NA
900.3473	NA	NA
900.3597	NA	NA
900.3765	NA	NA
900.3862	NA	NA
900.4019	NA	NA
900.4172	NA	NA
900.4556	NA	NA
900.4703	NA	NA
900.5137	NA	NA
900.5275	NA	NA
900.5538	NA	NA
900.5738	NA	NA
900.6025	NA	NA
900.6168	NA	NA
900.6422	NA	NA
900.7016	NA	NA
900.7178	NA	NA
900.7298	NA	NA
900.7854	NA	NA
900.8150	NA	NA
900.8467	NA	NA
900.8646	NA	NA
900.8812	NA	NA
900.9027	NA	NA
900.9373	NA	NA
900.9714	NA	NA
901.0010	NA	NA
901.0176	NA	NA
901.0625	NA	NA
901.1169	NA	NA
901.1370	NA	NA
901.1498	NA	NA
901.2240	NA	NA
901.2343	NA	NA
901.2774	NA	NA
901.2906	NA	NA
901.3056	NA	NA
901.3305	NA	NA
901.3535	NA	NA
901.3860	NA	NA
901.4155	NA	NA
901.4657	NA	NA
901.4945	NA	NA
901.5549	NA	NA
901.5928	NA	NA
901.6042	NA	NA
901.6141	NA	NA
901.6313	NA	NA
901.6438	NA	NA
901.6724	NA	NA
901.6912	NA	NA
901.7525	NA	NA
901.7868	NA	NA
901.8159	NA	NA
901.8267	NA	NA
901.8622	NA	NA
901.9249	NA	NA
901.9472	NA	NA
901.9614	NA	NA
902.0094	NA	NA
902.0581	NA	NA
902.6707	NA	NA
903.2440	NA	NA
903.4171	NA	NA
903.4351	NA	NA
