spike times	Vanne1 ON	Vanne1 OFF
25.4228	30.0197	32.0200
25.4292	92.0215	92.0415
25.4373	152.0444	152.2444
25.4456	212.2460	214.2462
25.4651	NA	NA
25.4771	NA	NA
30.0355	NA	NA
30.0397	NA	NA
30.0433	NA	NA
30.0466	NA	NA
30.0500	NA	NA
30.0534	NA	NA
30.0569	NA	NA
30.0606	NA	NA
30.0641	NA	NA
30.0676	NA	NA
30.0716	NA	NA
30.0757	NA	NA
30.0797	NA	NA
30.0839	NA	NA
30.0883	NA	NA
30.0933	NA	NA
30.0981	NA	NA
30.1028	NA	NA
30.1080	NA	NA
30.1139	NA	NA
30.1202	NA	NA
30.1260	NA	NA
30.1321	NA	NA
30.1381	NA	NA
30.1437	NA	NA
30.1536	NA	NA
30.1605	NA	NA
30.1688	NA	NA
30.1755	NA	NA
30.1861	NA	NA
30.1970	NA	NA
30.2090	NA	NA
30.2158	NA	NA
30.2237	NA	NA
30.2355	NA	NA
30.2510	NA	NA
30.2593	NA	NA
30.2711	NA	NA
30.2806	NA	NA
30.2897	NA	NA
30.3042	NA	NA
30.3191	NA	NA
30.3327	NA	NA
30.3497	NA	NA
30.3605	NA	NA
30.3712	NA	NA
30.3839	NA	NA
30.4018	NA	NA
30.4141	NA	NA
30.4243	NA	NA
30.4349	NA	NA
30.4508	NA	NA
30.4771	NA	NA
30.4940	NA	NA
30.5056	NA	NA
30.5174	NA	NA
30.5374	NA	NA
30.5657	NA	NA
30.5789	NA	NA
30.5972	NA	NA
30.6296	NA	NA
30.6443	NA	NA
30.6592	NA	NA
30.6817	NA	NA
30.6950	NA	NA
30.7256	NA	NA
30.7404	NA	NA
30.7521	NA	NA
30.7806	NA	NA
30.8062	NA	NA
30.8251	NA	NA
30.8503	NA	NA
30.8910	NA	NA
30.9066	NA	NA
30.9285	NA	NA
30.9636	NA	NA
31.0015	NA	NA
31.0308	NA	NA
31.0552	NA	NA
31.0802	NA	NA
31.1279	NA	NA
31.1467	NA	NA
31.1816	NA	NA
31.2138	NA	NA
31.2390	NA	NA
31.3169	NA	NA
31.3592	NA	NA
31.4325	NA	NA
31.4719	NA	NA
31.5061	NA	NA
31.5491	NA	NA
31.6670	NA	NA
31.7091	NA	NA
31.8510	NA	NA
31.9026	NA	NA
92.0396	NA	NA
92.0433	NA	NA
