spike times	Vanne1 ON	Vanne1 OFF
1.3608	30.0186	30.2187
1.8175	90.2214	90.2413
1.8430	150.2431	152.2433
2.1776	212.2460	214.2451
4.0068	NA	NA
4.0429	NA	NA
4.1423	NA	NA
5.2564	NA	NA
12.0921	NA	NA
22.3504	NA	NA
22.3607	NA	NA
30.0290	NA	NA
30.0318	NA	NA
30.0345	NA	NA
30.0370	NA	NA
30.0394	NA	NA
30.0418	NA	NA
30.0442	NA	NA
30.0467	NA	NA
30.0491	NA	NA
30.0514	NA	NA
30.0539	NA	NA
30.0563	NA	NA
30.0588	NA	NA
30.0612	NA	NA
30.0638	NA	NA
30.0665	NA	NA
30.0691	NA	NA
30.0716	NA	NA
30.0743	NA	NA
30.0772	NA	NA
30.0801	NA	NA
30.0829	NA	NA
30.0858	NA	NA
30.0887	NA	NA
30.0915	NA	NA
30.0947	NA	NA
30.0978	NA	NA
30.1009	NA	NA
30.1042	NA	NA
30.1075	NA	NA
30.1107	NA	NA
30.1137	NA	NA
30.1171	NA	NA
30.1203	NA	NA
30.1237	NA	NA
30.1270	NA	NA
30.1309	NA	NA
30.1342	NA	NA
30.1375	NA	NA
30.1408	NA	NA
30.1445	NA	NA
30.1482	NA	NA
30.1518	NA	NA
30.1557	NA	NA
30.1598	NA	NA
30.1634	NA	NA
30.1678	NA	NA
30.1721	NA	NA
30.1759	NA	NA
30.1795	NA	NA
30.1836	NA	NA
30.1879	NA	NA
30.1918	NA	NA
30.1961	NA	NA
30.2003	NA	NA
30.2047	NA	NA
30.2091	NA	NA
30.2135	NA	NA
30.2187	NA	NA
30.2234	NA	NA
30.2280	NA	NA
30.2332	NA	NA
30.2386	NA	NA
30.2436	NA	NA
30.2484	NA	NA
30.2539	NA	NA
30.2590	NA	NA
30.2651	NA	NA
30.2738	NA	NA
30.2807	NA	NA
30.2921	NA	NA
30.3073	NA	NA
30.5822	NA	NA
30.6852	NA	NA
30.7034	NA	NA
30.7474	NA	NA
30.7642	NA	NA
30.8090	NA	NA
31.0092	NA	NA
31.2842	NA	NA
31.3462	NA	NA
31.5100	NA	NA
31.5322	NA	NA
31.5893	NA	NA
32.3935	NA	NA
32.4587	NA	NA
32.4757	NA	NA
32.4866	NA	NA
32.7891	NA	NA
32.9435	NA	NA
32.9628	NA	NA
32.9918	NA	NA
33.0248	NA	NA
33.0338	NA	NA
33.0718	NA	NA
34.5062	NA	NA
37.3155	NA	NA
37.3261	NA	NA
42.0802	NA	NA
45.4738	NA	NA
46.8814	NA	NA
46.8885	NA	NA
50.5412	NA	NA
50.8119	NA	NA
50.8220	NA	NA
50.8379	NA	NA
58.1952	NA	NA
59.7058	NA	NA
59.7220	NA	NA
68.1234	NA	NA
68.1541	NA	NA
68.7591	NA	NA
68.7698	NA	NA
78.2320	NA	NA
78.3467	NA	NA
86.4768	NA	NA
90.2327	NA	NA
90.2354	NA	NA
90.2381	NA	NA
90.2407	NA	NA
90.2433	NA	NA
90.2458	NA	NA
90.2481	NA	NA
90.2506	NA	NA
90.2531	NA	NA
90.2557	NA	NA
90.2583	NA	NA
90.2608	NA	NA
90.2636	NA	NA
90.2663	NA	NA
90.2689	NA	NA
90.2717	NA	NA
90.2746	NA	NA
90.2776	NA	NA
90.2807	NA	NA
90.2839	NA	NA
90.2872	NA	NA
90.2906	NA	NA
90.2941	NA	NA
90.2982	NA	NA
90.3016	NA	NA
90.3053	NA	NA
90.3092	NA	NA
90.3132	NA	NA
90.3174	NA	NA
90.3219	NA	NA
90.3265	NA	NA
90.3317	NA	NA
90.3372	NA	NA
90.3433	NA	NA
90.3491	NA	NA
90.3558	NA	NA
90.3642	NA	NA
90.3733	NA	NA
90.3811	NA	NA
90.4094	NA	NA
90.7598	NA	NA
91.1132	NA	NA
91.1227	NA	NA
91.2366	NA	NA
91.5767	NA	NA
91.5903	NA	NA
91.9286	NA	NA
92.2646	NA	NA
92.2750	NA	NA
92.2891	NA	NA
92.2990	NA	NA
97.4169	NA	NA
99.8603	NA	NA
99.8712	NA	NA
99.8802	NA	NA
111.7342	NA	NA
