spike times	Vanne1 ON	Vanne1 OFF
9.4534	30.0218	30.0419
30.0365	90.0435	90.2435
30.0399	150.2461	152.2463
30.0429	212.2479	214.2481
30.0462	NA	NA
30.0486	NA	NA
30.0515	NA	NA
30.0546	NA	NA
30.0574	NA	NA
30.0606	NA	NA
30.0639	NA	NA
30.0672	NA	NA
30.0707	NA	NA
30.0746	NA	NA
30.0792	NA	NA
30.0840	NA	NA
30.0893	NA	NA
30.0967	NA	NA
30.1057	NA	NA
30.1137	NA	NA
30.1271	NA	NA
65.8172	NA	NA
65.8533	NA	NA
90.0611	NA	NA
90.0640	NA	NA
90.0669	NA	NA
90.0700	NA	NA
90.0731	NA	NA
90.0763	NA	NA
90.0793	NA	NA
90.0826	NA	NA
90.0859	NA	NA
90.0892	NA	NA
90.0926	NA	NA
90.0959	NA	NA
90.0995	NA	NA
90.1033	NA	NA
90.1069	NA	NA
90.1108	NA	NA
90.1148	NA	NA
90.1187	NA	NA
90.1224	NA	NA
90.1259	NA	NA
90.1293	NA	NA
90.1331	NA	NA
90.1367	NA	NA
90.1402	NA	NA
90.1443	NA	NA
90.1480	NA	NA
90.1526	NA	NA
90.1572	NA	NA
90.1614	NA	NA
90.1657	NA	NA
90.1701	NA	NA
90.1772	NA	NA
90.1823	NA	NA
90.1876	NA	NA
90.1928	NA	NA
90.1988	NA	NA
90.2041	NA	NA
90.2106	NA	NA
90.2187	NA	NA
90.2245	NA	NA
90.2314	NA	NA
90.2378	NA	NA
90.2452	NA	NA
90.2599	NA	NA
90.2695	NA	NA
91.7862	NA	NA
91.8179	NA	NA
93.5030	NA	NA
93.9460	NA	NA
93.9651	NA	NA
150.2612	NA	NA
150.2642	NA	NA
150.2671	NA	NA
150.2704	NA	NA
150.2733	NA	NA
150.2763	NA	NA
150.2795	NA	NA
150.2829	NA	NA
150.2865	NA	NA
150.2899	NA	NA
150.2934	NA	NA
150.2967	NA	NA
150.3001	NA	NA
150.3036	NA	NA
150.3073	NA	NA
150.3110	NA	NA
150.3149	NA	NA
150.3192	NA	NA
150.3233	NA	NA
150.3272	NA	NA
150.3313	NA	NA
150.3354	NA	NA
150.3390	NA	NA
150.3430	NA	NA
150.3469	NA	NA
150.3510	NA	NA
150.3549	NA	NA
150.3591	NA	NA
