spike times	Vanne1 ON	Vanne1 OFF	Vanne2 ON	Vanne2 OFF
0.0825	60.0191	62.0191	0.0189	60.0191
0.2249	122.0207	124.0210	62.0191	122.0207
0.2336	184.0216	186.0219	124.0209	184.0216
3.2655	NA	NA	186.0218	-1.0000
3.2965	NA	NA	NA	NA
4.4271	NA	NA	NA	NA
5.3103	NA	NA	NA	NA
5.3211	NA	NA	NA	NA
6.3366	NA	NA	NA	NA
7.1747	NA	NA	NA	NA
7.9381	NA	NA	NA	NA
7.9599	NA	NA	NA	NA
8.0150	NA	NA	NA	NA
9.0033	NA	NA	NA	NA
11.3384	NA	NA	NA	NA
11.5719	NA	NA	NA	NA
11.5809	NA	NA	NA	NA
11.5879	NA	NA	NA	NA
11.5999	NA	NA	NA	NA
11.7103	NA	NA	NA	NA
11.7215	NA	NA	NA	NA
12.4182	NA	NA	NA	NA
12.4302	NA	NA	NA	NA
12.5733	NA	NA	NA	NA
14.3842	NA	NA	NA	NA
15.3422	NA	NA	NA	NA
17.0876	NA	NA	NA	NA
17.5549	NA	NA	NA	NA
17.5657	NA	NA	NA	NA
19.0928	NA	NA	NA	NA
19.4131	NA	NA	NA	NA
20.7712	NA	NA	NA	NA
21.2203	NA	NA	NA	NA
23.6262	NA	NA	NA	NA
23.8254	NA	NA	NA	NA
24.3199	NA	NA	NA	NA
25.5290	NA	NA	NA	NA
27.8116	NA	NA	NA	NA
27.8213	NA	NA	NA	NA
27.8962	NA	NA	NA	NA
27.9029	NA	NA	NA	NA
27.9185	NA	NA	NA	NA
28.6579	NA	NA	NA	NA
28.6697	NA	NA	NA	NA
29.6732	NA	NA	NA	NA
29.6815	NA	NA	NA	NA
30.0343	NA	NA	NA	NA
34.9214	NA	NA	NA	NA
36.1989	NA	NA	NA	NA
36.2077	NA	NA	NA	NA
36.9226	NA	NA	NA	NA
40.2738	NA	NA	NA	NA
42.0058	NA	NA	NA	NA
42.0172	NA	NA	NA	NA
42.0306	NA	NA	NA	NA
42.9627	NA	NA	NA	NA
51.1475	NA	NA	NA	NA
54.4609	NA	NA	NA	NA
54.4714	NA	NA	NA	NA
55.8449	NA	NA	NA	NA
56.6093	NA	NA	NA	NA
57.6648	NA	NA	NA	NA
57.6760	NA	NA	NA	NA
60.0462	NA	NA	NA	NA
60.0494	NA	NA	NA	NA
60.0528	NA	NA	NA	NA
60.0564	NA	NA	NA	NA
60.0600	NA	NA	NA	NA
60.0636	NA	NA	NA	NA
60.0667	NA	NA	NA	NA
60.0697	NA	NA	NA	NA
60.0731	NA	NA	NA	NA
60.0764	NA	NA	NA	NA
60.0799	NA	NA	NA	NA
60.0831	NA	NA	NA	NA
60.0869	NA	NA	NA	NA
60.0908	NA	NA	NA	NA
60.0943	NA	NA	NA	NA
60.0984	NA	NA	NA	NA
60.1028	NA	NA	NA	NA
60.1067	NA	NA	NA	NA
60.1113	NA	NA	NA	NA
60.1163	NA	NA	NA	NA
60.1215	NA	NA	NA	NA
60.1268	NA	NA	NA	NA
60.1323	NA	NA	NA	NA
60.1380	NA	NA	NA	NA
60.1445	NA	NA	NA	NA
60.1507	NA	NA	NA	NA
60.1564	NA	NA	NA	NA
60.1653	NA	NA	NA	NA
60.1745	NA	NA	NA	NA
60.1816	NA	NA	NA	NA
60.1901	NA	NA	NA	NA
60.2004	NA	NA	NA	NA
60.2087	NA	NA	NA	NA
60.2160	NA	NA	NA	NA
60.2252	NA	NA	NA	NA
60.2366	NA	NA	NA	NA
60.2669	NA	NA	NA	NA
60.2913	NA	NA	NA	NA
60.3118	NA	NA	NA	NA
60.3389	NA	NA	NA	NA
60.3580	NA	NA	NA	NA
60.3767	NA	NA	NA	NA
60.4095	NA	NA	NA	NA
60.4352	NA	NA	NA	NA
60.4736	NA	NA	NA	NA
60.5027	NA	NA	NA	NA
60.5934	NA	NA	NA	NA
60.6364	NA	NA	NA	NA
60.6766	NA	NA	NA	NA
60.7478	NA	NA	NA	NA
60.7584	NA	NA	NA	NA
60.8559	NA	NA	NA	NA
60.8855	NA	NA	NA	NA
60.8948	NA	NA	NA	NA
61.0575	NA	NA	NA	NA
61.0669	NA	NA	NA	NA
61.1830	NA	NA	NA	NA
61.2460	NA	NA	NA	NA
61.2658	NA	NA	NA	NA
61.2820	NA	NA	NA	NA
61.3035	NA	NA	NA	NA
61.4451	NA	NA	NA	NA
61.4848	NA	NA	NA	NA
61.4999	NA	NA	NA	NA
61.6371	NA	NA	NA	NA
61.6952	NA	NA	NA	NA
61.7629	NA	NA	NA	NA
61.9535	NA	NA	NA	NA
61.9792	NA	NA	NA	NA
66.4608	NA	NA	NA	NA
69.9801	NA	NA	NA	NA
70.0050	NA	NA	NA	NA
73.0704	NA	NA	NA	NA
73.0768	NA	NA	NA	NA
77.6881	NA	NA	NA	NA
80.5704	NA	NA	NA	NA
81.3144	NA	NA	NA	NA
81.7557	NA	NA	NA	NA
82.0599	NA	NA	NA	NA
83.8695	NA	NA	NA	NA
89.3138	NA	NA	NA	NA
91.0140	NA	NA	NA	NA
93.8729	NA	NA	NA	NA
93.8859	NA	NA	NA	NA
94.8742	NA	NA	NA	NA
96.1598	NA	NA	NA	NA
98.1007	NA	NA	NA	NA
98.1099	NA	NA	NA	NA
98.9407	NA	NA	NA	NA
99.4480	NA	NA	NA	NA
101.6596	NA	NA	NA	NA
104.5473	NA	NA	NA	NA
108.6708	NA	NA	NA	NA
108.6782	NA	NA	NA	NA
108.6935	NA	NA	NA	NA
110.4675	NA	NA	NA	NA
111.6537	NA	NA	NA	NA
115.2235	NA	NA	NA	NA
115.2492	NA	NA	NA	NA
117.0755	NA	NA	NA	NA
118.4251	NA	NA	NA	NA
120.5901	NA	NA	NA	NA
122.0495	NA	NA	NA	NA
122.0544	NA	NA	NA	NA
122.0585	NA	NA	NA	NA
122.0630	NA	NA	NA	NA
122.0675	NA	NA	NA	NA
122.0714	NA	NA	NA	NA
122.0756	NA	NA	NA	NA
122.0796	NA	NA	NA	NA
122.0840	NA	NA	NA	NA
122.0886	NA	NA	NA	NA
122.0928	NA	NA	NA	NA
122.0978	NA	NA	NA	NA
122.1032	NA	NA	NA	NA
122.1101	NA	NA	NA	NA
122.1157	NA	NA	NA	NA
122.1221	NA	NA	NA	NA
122.1283	NA	NA	NA	NA
122.1340	NA	NA	NA	NA
122.1436	NA	NA	NA	NA
122.1507	NA	NA	NA	NA
122.1587	NA	NA	NA	NA
122.1662	NA	NA	NA	NA
122.1760	NA	NA	NA	NA
122.1881	NA	NA	NA	NA
122.2067	NA	NA	NA	NA
122.2184	NA	NA	NA	NA
122.2324	NA	NA	NA	NA
122.2502	NA	NA	NA	NA
122.2739	NA	NA	NA	NA
122.2882	NA	NA	NA	NA
122.3268	NA	NA	NA	NA
122.3421	NA	NA	NA	NA
122.3553	NA	NA	NA	NA
122.4119	NA	NA	NA	NA
122.4257	NA	NA	NA	NA
122.4719	NA	NA	NA	NA
122.5491	NA	NA	NA	NA
122.5633	NA	NA	NA	NA
122.6019	NA	NA	NA	NA
122.6177	NA	NA	NA	NA
122.6787	NA	NA	NA	NA
122.7046	NA	NA	NA	NA
122.7953	NA	NA	NA	NA
122.8111	NA	NA	NA	NA
122.9459	NA	NA	NA	NA
123.0179	NA	NA	NA	NA
123.1367	NA	NA	NA	NA
123.2459	NA	NA	NA	NA
123.3183	NA	NA	NA	NA
123.3316	NA	NA	NA	NA
123.5799	NA	NA	NA	NA
123.5896	NA	NA	NA	NA
123.6233	NA	NA	NA	NA
123.6510	NA	NA	NA	NA
123.7537	NA	NA	NA	NA
123.8976	NA	NA	NA	NA
123.9764	NA	NA	NA	NA
123.9898	NA	NA	NA	NA
124.0001	NA	NA	NA	NA
128.3884	NA	NA	NA	NA
129.4336	NA	NA	NA	NA
131.2511	NA	NA	NA	NA
133.2929	NA	NA	NA	NA
143.3780	NA	NA	NA	NA
147.1880	NA	NA	NA	NA
148.1216	NA	NA	NA	NA
148.1334	NA	NA	NA	NA
148.4324	NA	NA	NA	NA
150.0730	NA	NA	NA	NA
150.5263	NA	NA	NA	NA
152.9997	NA	NA	NA	NA
154.0243	NA	NA	NA	NA
155.5375	NA	NA	NA	NA
159.0577	NA	NA	NA	NA
162.8445	NA	NA	NA	NA
163.2419	NA	NA	NA	NA
163.2495	NA	NA	NA	NA
164.0472	NA	NA	NA	NA
164.1863	NA	NA	NA	NA
165.3169	NA	NA	NA	NA
165.8665	NA	NA	NA	NA
169.1162	NA	NA	NA	NA
169.7882	NA	NA	NA	NA
169.8093	NA	NA	NA	NA
170.9771	NA	NA	NA	NA
170.9846	NA	NA	NA	NA
175.0104	NA	NA	NA	NA
177.4696	NA	NA	NA	NA
179.0182	NA	NA	NA	NA
180.2272	NA	NA	NA	NA
181.3264	NA	NA	NA	NA
184.0570	NA	NA	NA	NA
184.0617	NA	NA	NA	NA
184.0663	NA	NA	NA	NA
184.0712	NA	NA	NA	NA
184.0762	NA	NA	NA	NA
184.0806	NA	NA	NA	NA
184.0855	NA	NA	NA	NA
184.0905	NA	NA	NA	NA
184.0954	NA	NA	NA	NA
184.1004	NA	NA	NA	NA
184.1056	NA	NA	NA	NA
184.1112	NA	NA	NA	NA
184.1161	NA	NA	NA	NA
184.1213	NA	NA	NA	NA
184.1267	NA	NA	NA	NA
184.1327	NA	NA	NA	NA
184.1396	NA	NA	NA	NA
184.1472	NA	NA	NA	NA
184.1542	NA	NA	NA	NA
184.1648	NA	NA	NA	NA
184.1736	NA	NA	NA	NA
184.1811	NA	NA	NA	NA
184.1906	NA	NA	NA	NA
184.2005	NA	NA	NA	NA
184.2099	NA	NA	NA	NA
184.2269	NA	NA	NA	NA
184.2528	NA	NA	NA	NA
184.2673	NA	NA	NA	NA
184.2856	NA	NA	NA	NA
184.3392	NA	NA	NA	NA
184.3577	NA	NA	NA	NA
184.3680	NA	NA	NA	NA
184.4027	NA	NA	NA	NA
184.4297	NA	NA	NA	NA
184.4466	NA	NA	NA	NA
184.4621	NA	NA	NA	NA
184.4999	NA	NA	NA	NA
184.6231	NA	NA	NA	NA
184.6456	NA	NA	NA	NA
184.7335	NA	NA	NA	NA
184.8457	NA	NA	NA	NA
184.8550	NA	NA	NA	NA
184.8682	NA	NA	NA	NA
184.9136	NA	NA	NA	NA
185.0890	NA	NA	NA	NA
185.1939	NA	NA	NA	NA
185.2081	NA	NA	NA	NA
185.2209	NA	NA	NA	NA
185.2356	NA	NA	NA	NA
185.3430	NA	NA	NA	NA
185.4154	NA	NA	NA	NA
185.4565	NA	NA	NA	NA
185.4876	NA	NA	NA	NA
185.6076	NA	NA	NA	NA
185.7642	NA	NA	NA	NA
185.8951	NA	NA	NA	NA
185.9701	NA	NA	NA	NA
190.6153	NA	NA	NA	NA
196.4222	NA	NA	NA	NA
196.4291	NA	NA	NA	NA
196.8287	NA	NA	NA	NA
198.9420	NA	NA	NA	NA
201.3323	NA	NA	NA	NA
205.1875	NA	NA	NA	NA
205.1992	NA	NA	NA	NA
206.9068	NA	NA	NA	NA
210.4302	NA	NA	NA	NA
214.4144	NA	NA	NA	NA
