spike times	Vanne1 ON	Vanne1 OFF	Vanne2 ON	Vanne2 OFF
0.0969	60.0191	62.0193	0.0186	60.0191
0.1154	122.0209	124.0211	62.0193	122.0209
0.1475	184.0216	186.0219	124.0211	184.0216
0.1715	NA	NA	186.0218	-1.0000
0.1958	NA	NA	NA	NA
0.2561	NA	NA	NA	NA
0.2685	NA	NA	NA	NA
0.2783	NA	NA	NA	NA
0.3570	NA	NA	NA	NA
0.3724	NA	NA	NA	NA
0.4597	NA	NA	NA	NA
0.5153	NA	NA	NA	NA
0.6461	NA	NA	NA	NA
0.7298	NA	NA	NA	NA
0.7438	NA	NA	NA	NA
0.7522	NA	NA	NA	NA
0.7660	NA	NA	NA	NA
0.7760	NA	NA	NA	NA
0.7890	NA	NA	NA	NA
1.0538	NA	NA	NA	NA
1.0641	NA	NA	NA	NA
1.0829	NA	NA	NA	NA
1.1530	NA	NA	NA	NA
1.2402	NA	NA	NA	NA
1.2534	NA	NA	NA	NA
1.2610	NA	NA	NA	NA
1.2695	NA	NA	NA	NA
1.8134	NA	NA	NA	NA
1.8285	NA	NA	NA	NA
1.8447	NA	NA	NA	NA
1.8537	NA	NA	NA	NA
1.8831	NA	NA	NA	NA
2.0412	NA	NA	NA	NA
2.0558	NA	NA	NA	NA
2.0931	NA	NA	NA	NA
2.3168	NA	NA	NA	NA
2.4406	NA	NA	NA	NA
2.4628	NA	NA	NA	NA
2.4983	NA	NA	NA	NA
2.5885	NA	NA	NA	NA
2.6084	NA	NA	NA	NA
2.6302	NA	NA	NA	NA
2.7952	NA	NA	NA	NA
2.9707	NA	NA	NA	NA
3.0691	NA	NA	NA	NA
3.0871	NA	NA	NA	NA
3.1386	NA	NA	NA	NA
3.4263	NA	NA	NA	NA
3.4330	NA	NA	NA	NA
3.4398	NA	NA	NA	NA
3.4479	NA	NA	NA	NA
3.5099	NA	NA	NA	NA
3.5484	NA	NA	NA	NA
3.5608	NA	NA	NA	NA
3.6355	NA	NA	NA	NA
3.8056	NA	NA	NA	NA
3.9075	NA	NA	NA	NA
4.0677	NA	NA	NA	NA
4.0783	NA	NA	NA	NA
4.0870	NA	NA	NA	NA
4.3567	NA	NA	NA	NA
4.3854	NA	NA	NA	NA
4.5790	NA	NA	NA	NA
4.5865	NA	NA	NA	NA
4.5944	NA	NA	NA	NA
4.6114	NA	NA	NA	NA
4.7241	NA	NA	NA	NA
4.8240	NA	NA	NA	NA
5.1752	NA	NA	NA	NA
5.2106	NA	NA	NA	NA
5.3044	NA	NA	NA	NA
5.3168	NA	NA	NA	NA
5.5111	NA	NA	NA	NA
5.5267	NA	NA	NA	NA
5.5392	NA	NA	NA	NA
5.7997	NA	NA	NA	NA
5.8144	NA	NA	NA	NA
5.8239	NA	NA	NA	NA
5.8378	NA	NA	NA	NA
5.9460	NA	NA	NA	NA
5.9749	NA	NA	NA	NA
6.2266	NA	NA	NA	NA
6.4154	NA	NA	NA	NA
6.4249	NA	NA	NA	NA
6.4433	NA	NA	NA	NA
6.6010	NA	NA	NA	NA
6.6151	NA	NA	NA	NA
6.8630	NA	NA	NA	NA
6.8735	NA	NA	NA	NA
6.8849	NA	NA	NA	NA
7.0170	NA	NA	NA	NA
7.0297	NA	NA	NA	NA
7.3501	NA	NA	NA	NA
7.3611	NA	NA	NA	NA
7.3792	NA	NA	NA	NA
7.3902	NA	NA	NA	NA
7.5421	NA	NA	NA	NA
7.5759	NA	NA	NA	NA
7.5827	NA	NA	NA	NA
7.5923	NA	NA	NA	NA
7.6017	NA	NA	NA	NA
7.6194	NA	NA	NA	NA
7.6328	NA	NA	NA	NA
7.6523	NA	NA	NA	NA
7.6944	NA	NA	NA	NA
7.9740	NA	NA	NA	NA
8.1830	NA	NA	NA	NA
8.2413	NA	NA	NA	NA
8.3934	NA	NA	NA	NA
8.4548	NA	NA	NA	NA
8.4868	NA	NA	NA	NA
8.6725	NA	NA	NA	NA
8.8166	NA	NA	NA	NA
8.8390	NA	NA	NA	NA
9.0449	NA	NA	NA	NA
9.0771	NA	NA	NA	NA
9.3802	NA	NA	NA	NA
9.3984	NA	NA	NA	NA
9.4127	NA	NA	NA	NA
9.4255	NA	NA	NA	NA
9.4394	NA	NA	NA	NA
9.9969	NA	NA	NA	NA
10.0177	NA	NA	NA	NA
10.2970	NA	NA	NA	NA
10.3171	NA	NA	NA	NA
10.3458	NA	NA	NA	NA
10.3608	NA	NA	NA	NA
10.3696	NA	NA	NA	NA
10.3958	NA	NA	NA	NA
10.5610	NA	NA	NA	NA
10.6109	NA	NA	NA	NA
10.7765	NA	NA	NA	NA
10.8951	NA	NA	NA	NA
11.0945	NA	NA	NA	NA
11.1087	NA	NA	NA	NA
11.1229	NA	NA	NA	NA
11.1562	NA	NA	NA	NA
11.3686	NA	NA	NA	NA
11.3886	NA	NA	NA	NA
11.6129	NA	NA	NA	NA
11.6930	NA	NA	NA	NA
11.9514	NA	NA	NA	NA
11.9631	NA	NA	NA	NA
12.1328	NA	NA	NA	NA
12.4733	NA	NA	NA	NA
12.4871	NA	NA	NA	NA
12.5190	NA	NA	NA	NA
12.6695	NA	NA	NA	NA
12.6835	NA	NA	NA	NA
12.6900	NA	NA	NA	NA
13.0813	NA	NA	NA	NA
13.0924	NA	NA	NA	NA
13.2821	NA	NA	NA	NA
13.3499	NA	NA	NA	NA
13.3680	NA	NA	NA	NA
13.4594	NA	NA	NA	NA
13.4936	NA	NA	NA	NA
13.5065	NA	NA	NA	NA
13.7360	NA	NA	NA	NA
13.7476	NA	NA	NA	NA
14.1125	NA	NA	NA	NA
14.1266	NA	NA	NA	NA
14.3635	NA	NA	NA	NA
14.3844	NA	NA	NA	NA
14.4471	NA	NA	NA	NA
14.5027	NA	NA	NA	NA
14.7243	NA	NA	NA	NA
14.7875	NA	NA	NA	NA
14.8039	NA	NA	NA	NA
14.9352	NA	NA	NA	NA
15.0789	NA	NA	NA	NA
