spike times	Vanne1 ON	Vanne1 OFF	Vanne2 ON	Vanne2 OFF
0.0306	60.0196	62.0199	0.0186	60.0196
0.0353	122.0214	124.0206	62.0198	122.0215
0.0448	184.0222	186.0224	124.0206	184.0222
0.1439	NA	NA	186.0224	-1.0000
0.1504	NA	NA	NA	NA
0.1814	NA	NA	NA	NA
0.2554	NA	NA	NA	NA
0.2712	NA	NA	NA	NA
0.3965	NA	NA	NA	NA
0.4777	NA	NA	NA	NA
0.4900	NA	NA	NA	NA
0.4998	NA	NA	NA	NA
0.5129	NA	NA	NA	NA
0.5288	NA	NA	NA	NA
0.7559	NA	NA	NA	NA
0.7673	NA	NA	NA	NA
1.1075	NA	NA	NA	NA
1.1524	NA	NA	NA	NA
1.1747	NA	NA	NA	NA
1.2314	NA	NA	NA	NA
1.6390	NA	NA	NA	NA
1.6495	NA	NA	NA	NA
1.6592	NA	NA	NA	NA
1.6697	NA	NA	NA	NA
2.1063	NA	NA	NA	NA
2.3899	NA	NA	NA	NA
2.4077	NA	NA	NA	NA
2.5979	NA	NA	NA	NA
2.8470	NA	NA	NA	NA
2.8569	NA	NA	NA	NA
3.0085	NA	NA	NA	NA
3.4045	NA	NA	NA	NA
3.4356	NA	NA	NA	NA
3.9396	NA	NA	NA	NA
4.0252	NA	NA	NA	NA
4.4347	NA	NA	NA	NA
4.5627	NA	NA	NA	NA
4.8610	NA	NA	NA	NA
4.8767	NA	NA	NA	NA
5.4473	NA	NA	NA	NA
5.4546	NA	NA	NA	NA
5.5433	NA	NA	NA	NA
5.5846	NA	NA	NA	NA
5.6141	NA	NA	NA	NA
5.6245	NA	NA	NA	NA
5.7374	NA	NA	NA	NA
6.0158	NA	NA	NA	NA
6.0392	NA	NA	NA	NA
6.1219	NA	NA	NA	NA
6.5392	NA	NA	NA	NA
6.5455	NA	NA	NA	NA
6.6602	NA	NA	NA	NA
6.7468	NA	NA	NA	NA
6.8140	NA	NA	NA	NA
7.0306	NA	NA	NA	NA
7.0785	NA	NA	NA	NA
7.2269	NA	NA	NA	NA
7.2377	NA	NA	NA	NA
7.2486	NA	NA	NA	NA
7.4711	NA	NA	NA	NA
7.6472	NA	NA	NA	NA
8.1910	NA	NA	NA	NA
8.3758	NA	NA	NA	NA
8.6844	NA	NA	NA	NA
8.7628	NA	NA	NA	NA
9.2971	NA	NA	NA	NA
9.5458	NA	NA	NA	NA
9.8129	NA	NA	NA	NA
9.8261	NA	NA	NA	NA
10.8389	NA	NA	NA	NA
10.8517	NA	NA	NA	NA
10.9211	NA	NA	NA	NA
11.0542	NA	NA	NA	NA
11.0759	NA	NA	NA	NA
11.2093	NA	NA	NA	NA
11.2177	NA	NA	NA	NA
11.5927	NA	NA	NA	NA
11.8216	NA	NA	NA	NA
12.0989	NA	NA	NA	NA
12.3054	NA	NA	NA	NA
12.3593	NA	NA	NA	NA
12.8288	NA	NA	NA	NA
12.8839	NA	NA	NA	NA
12.9001	NA	NA	NA	NA
13.7358	NA	NA	NA	NA
13.9991	NA	NA	NA	NA
14.3842	NA	NA	NA	NA
14.5932	NA	NA	NA	NA
14.6044	NA	NA	NA	NA
14.6667	NA	NA	NA	NA
14.8782	NA	NA	NA	NA
14.8871	NA	NA	NA	NA
15.0890	NA	NA	NA	NA
15.4578	NA	NA	NA	NA
16.0257	NA	NA	NA	NA
16.0435	NA	NA	NA	NA
16.0524	NA	NA	NA	NA
16.3827	NA	NA	NA	NA
16.4715	NA	NA	NA	NA
16.6380	NA	NA	NA	NA
16.6838	NA	NA	NA	NA
16.6948	NA	NA	NA	NA
17.3458	NA	NA	NA	NA
17.6591	NA	NA	NA	NA
17.6714	NA	NA	NA	NA
17.6784	NA	NA	NA	NA
18.0124	NA	NA	NA	NA
18.1649	NA	NA	NA	NA
18.1796	NA	NA	NA	NA
18.1867	NA	NA	NA	NA
18.3428	NA	NA	NA	NA
18.6735	NA	NA	NA	NA
19.1315	NA	NA	NA	NA
19.1431	NA	NA	NA	NA
19.6000	NA	NA	NA	NA
19.6064	NA	NA	NA	NA
19.6755	NA	NA	NA	NA
19.6936	NA	NA	NA	NA
20.3930	NA	NA	NA	NA
20.4086	NA	NA	NA	NA
20.8919	NA	NA	NA	NA
20.9083	NA	NA	NA	NA
20.9584	NA	NA	NA	NA
21.0418	NA	NA	NA	NA
21.0511	NA	NA	NA	NA
21.3533	NA	NA	NA	NA
21.4064	NA	NA	NA	NA
21.4137	NA	NA	NA	NA
21.4207	NA	NA	NA	NA
21.4671	NA	NA	NA	NA
21.6805	NA	NA	NA	NA
21.6853	NA	NA	NA	NA
21.6921	NA	NA	NA	NA
21.7633	NA	NA	NA	NA
21.7703	NA	NA	NA	NA
22.3092	NA	NA	NA	NA
22.3836	NA	NA	NA	NA
22.8284	NA	NA	NA	NA
22.8382	NA	NA	NA	NA
22.9833	NA	NA	NA	NA
22.9973	NA	NA	NA	NA
23.2028	NA	NA	NA	NA
23.2220	NA	NA	NA	NA
23.2306	NA	NA	NA	NA
23.2550	NA	NA	NA	NA
23.2637	NA	NA	NA	NA
23.2853	NA	NA	NA	NA
23.4864	NA	NA	NA	NA
23.6763	NA	NA	NA	NA
23.8087	NA	NA	NA	NA
