spike times	Vanne1 ON	Vanne1 OFF	Vanne2 ON	Vanne2 OFF
0.3484	60.0198	62.0201	0.0186	60.0198
0.4209	122.0207	124.0208	62.0200	122.0207
1.0686	184.0224	186.0226	124.0208	184.0224
1.0802	NA	NA	186.0226	-1.0000
1.2916	NA	NA	NA	NA
1.4453	NA	NA	NA	NA
1.5713	NA	NA	NA	NA
1.5823	NA	NA	NA	NA
1.5915	NA	NA	NA	NA
2.5766	NA	NA	NA	NA
3.1000	NA	NA	NA	NA
3.2378	NA	NA	NA	NA
3.2534	NA	NA	NA	NA
3.2631	NA	NA	NA	NA
3.2901	NA	NA	NA	NA
4.3638	NA	NA	NA	NA
4.5980	NA	NA	NA	NA
5.2171	NA	NA	NA	NA
5.2285	NA	NA	NA	NA
5.2649	NA	NA	NA	NA
5.6831	NA	NA	NA	NA
5.6891	NA	NA	NA	NA
5.6984	NA	NA	NA	NA
5.7053	NA	NA	NA	NA
5.7125	NA	NA	NA	NA
5.7216	NA	NA	NA	NA
5.8394	NA	NA	NA	NA
6.1434	NA	NA	NA	NA
6.1529	NA	NA	NA	NA
6.1751	NA	NA	NA	NA
7.0352	NA	NA	NA	NA
7.0448	NA	NA	NA	NA
7.2680	NA	NA	NA	NA
7.3875	NA	NA	NA	NA
8.2290	NA	NA	NA	NA
8.9521	NA	NA	NA	NA
8.9752	NA	NA	NA	NA
8.9914	NA	NA	NA	NA
9.3279	NA	NA	NA	NA
9.9000	NA	NA	NA	NA
9.9148	NA	NA	NA	NA
10.4780	NA	NA	NA	NA
11.3706	NA	NA	NA	NA
12.1814	NA	NA	NA	NA
12.1951	NA	NA	NA	NA
13.0047	NA	NA	NA	NA
13.3448	NA	NA	NA	NA
15.0600	NA	NA	NA	NA
17.0037	NA	NA	NA	NA
17.0140	NA	NA	NA	NA
18.0699	NA	NA	NA	NA
18.1450	NA	NA	NA	NA
19.2353	NA	NA	NA	NA
19.2547	NA	NA	NA	NA
20.0292	NA	NA	NA	NA
20.7311	NA	NA	NA	NA
20.7393	NA	NA	NA	NA
21.7304	NA	NA	NA	NA
22.2825	NA	NA	NA	NA
22.2969	NA	NA	NA	NA
23.9043	NA	NA	NA	NA
24.1894	NA	NA	NA	NA
25.7171	NA	NA	NA	NA
26.2969	NA	NA	NA	NA
27.5164	NA	NA	NA	NA
30.2979	NA	NA	NA	NA
30.5772	NA	NA	NA	NA
30.5855	NA	NA	NA	NA
31.3691	NA	NA	NA	NA
31.3934	NA	NA	NA	NA
33.6895	NA	NA	NA	NA
34.1745	NA	NA	NA	NA
34.6267	NA	NA	NA	NA
34.6396	NA	NA	NA	NA
35.8997	NA	NA	NA	NA
37.7563	NA	NA	NA	NA
38.1565	NA	NA	NA	NA
39.1085	NA	NA	NA	NA
39.1335	NA	NA	NA	NA
40.2971	NA	NA	NA	NA
41.3948	NA	NA	NA	NA
42.0064	NA	NA	NA	NA
42.5642	NA	NA	NA	NA
42.6779	NA	NA	NA	NA
47.2285	NA	NA	NA	NA
48.3872	NA	NA	NA	NA
48.4020	NA	NA	NA	NA
48.8304	NA	NA	NA	NA
49.2297	NA	NA	NA	NA
49.2480	NA	NA	NA	NA
50.9851	NA	NA	NA	NA
51.0283	NA	NA	NA	NA
52.0226	NA	NA	NA	NA
53.9783	NA	NA	NA	NA
54.0040	NA	NA	NA	NA
56.7554	NA	NA	NA	NA
57.6632	NA	NA	NA	NA
58.8225	NA	NA	NA	NA
60.0464	NA	NA	NA	NA
60.0513	NA	NA	NA	NA
60.0562	NA	NA	NA	NA
60.0607	NA	NA	NA	NA
60.0649	NA	NA	NA	NA
60.0694	NA	NA	NA	NA
60.0734	NA	NA	NA	NA
60.0788	NA	NA	NA	NA
60.0832	NA	NA	NA	NA
60.0879	NA	NA	NA	NA
60.0933	NA	NA	NA	NA
60.0991	NA	NA	NA	NA
60.1047	NA	NA	NA	NA
60.1103	NA	NA	NA	NA
60.1160	NA	NA	NA	NA
60.1218	NA	NA	NA	NA
60.1312	NA	NA	NA	NA
60.1410	NA	NA	NA	NA
60.1486	NA	NA	NA	NA
60.1564	NA	NA	NA	NA
60.1661	NA	NA	NA	NA
60.1751	NA	NA	NA	NA
60.1869	NA	NA	NA	NA
60.1980	NA	NA	NA	NA
60.2140	NA	NA	NA	NA
60.2352	NA	NA	NA	NA
60.2473	NA	NA	NA	NA
60.2614	NA	NA	NA	NA
60.2839	NA	NA	NA	NA
60.3136	NA	NA	NA	NA
60.3419	NA	NA	NA	NA
60.3599	NA	NA	NA	NA
60.3871	NA	NA	NA	NA
60.4056	NA	NA	NA	NA
60.4246	NA	NA	NA	NA
60.4593	NA	NA	NA	NA
60.4765	NA	NA	NA	NA
60.4880	NA	NA	NA	NA
60.5320	NA	NA	NA	NA
60.5829	NA	NA	NA	NA
60.6316	NA	NA	NA	NA
60.6872	NA	NA	NA	NA
60.7299	NA	NA	NA	NA
60.7411	NA	NA	NA	NA
60.7785	NA	NA	NA	NA
60.8070	NA	NA	NA	NA
60.8402	NA	NA	NA	NA
60.8500	NA	NA	NA	NA
60.8966	NA	NA	NA	NA
60.9318	NA	NA	NA	NA
60.9407	NA	NA	NA	NA
61.0741	NA	NA	NA	NA
61.0861	NA	NA	NA	NA
61.1412	NA	NA	NA	NA
61.1599	NA	NA	NA	NA
61.1749	NA	NA	NA	NA
