spike times	Vanne1 ON	Vanne1 OFF
30.0485	30.0205	30.0409
30.0555	90.0435	90.2439
30.0625	150.2455	152.2455
30.0690	212.2475	212.2679
30.0755	272.2705	272.4709
30.0830	332.4720	334.4724
30.0915	394.4745	394.4949
30.1015	454.4960	454.6964
30.1145	514.6985	516.6994
30.1270	576.7005	576.7210
30.1440	636.7230	636.9235
90.0715	696.9245	698.9249
90.0770	758.9270	758.9479
90.0825	818.9490	819.1495
90.0875	879.1515	881.1519
90.0930	NA	NA
90.0980	NA	NA
90.1025	NA	NA
90.1075	NA	NA
90.1130	NA	NA
90.1180	NA	NA
90.1240	NA	NA
90.1295	NA	NA
90.1355	NA	NA
90.1420	NA	NA
90.1490	NA	NA
90.1560	NA	NA
90.1635	NA	NA
90.1715	NA	NA
90.1785	NA	NA
90.1860	NA	NA
90.1950	NA	NA
90.2035	NA	NA
90.2160	NA	NA
90.2260	NA	NA
90.2345	NA	NA
90.2435	NA	NA
90.2565	NA	NA
90.2665	NA	NA
90.2780	NA	NA
90.2930	NA	NA
90.3080	NA	NA
90.3285	NA	NA
94.5010	NA	NA
150.2740	NA	NA
150.2795	NA	NA
150.2850	NA	NA
150.2905	NA	NA
150.2960	NA	NA
150.3010	NA	NA
150.3060	NA	NA
150.3105	NA	NA
150.3160	NA	NA
150.3215	NA	NA
150.3270	NA	NA
150.3325	NA	NA
150.3385	NA	NA
150.3445	NA	NA
150.3515	NA	NA
150.3580	NA	NA
150.3645	NA	NA
150.3725	NA	NA
150.3805	NA	NA
150.3890	NA	NA
150.3970	NA	NA
150.4065	NA	NA
150.4160	NA	NA
150.4245	NA	NA
150.4365	NA	NA
150.4455	NA	NA
150.4550	NA	NA
150.4660	NA	NA
150.4805	NA	NA
150.4900	NA	NA
150.5005	NA	NA
150.5110	NA	NA
150.5225	NA	NA
150.5340	NA	NA
150.5455	NA	NA
150.5570	NA	NA
150.5700	NA	NA
150.5825	NA	NA
150.5945	NA	NA
150.6180	NA	NA
150.6305	NA	NA
150.6445	NA	NA
150.6600	NA	NA
150.6725	NA	NA
150.6900	NA	NA
150.7085	NA	NA
150.7335	NA	NA
150.7455	NA	NA
150.7595	NA	NA
150.7770	NA	NA
150.8020	NA	NA
150.8120	NA	NA
150.8255	NA	NA
150.8465	NA	NA
150.8765	NA	NA
150.8895	NA	NA
150.9050	NA	NA
150.9260	NA	NA
150.9530	NA	NA
150.9755	NA	NA
151.0030	NA	NA
151.0265	NA	NA
151.0420	NA	NA
151.0675	NA	NA
151.0955	NA	NA
151.1130	NA	NA
151.1425	NA	NA
151.1605	NA	NA
151.1880	NA	NA
151.2120	NA	NA
151.2330	NA	NA
151.2525	NA	NA
151.3115	NA	NA
151.3580	NA	NA
151.3835	NA	NA
151.4040	NA	NA
151.4660	NA	NA
151.5250	NA	NA
151.5490	NA	NA
151.5825	NA	NA
151.6170	NA	NA
151.6365	NA	NA
151.6715	NA	NA
151.7325	NA	NA
151.7475	NA	NA
151.8025	NA	NA
151.8610	NA	NA
151.8960	NA	NA
151.9450	NA	NA
151.9975	NA	NA
152.0325	NA	NA
152.0520	NA	NA
152.1730	NA	NA
152.1975	NA	NA
152.2190	NA	NA
153.4220	NA	NA
153.6615	NA	NA
155.8225	NA	NA
156.4445	NA	NA
157.5425	NA	NA
159.4055	NA	NA
161.7500	NA	NA
162.1800	NA	NA
171.1190	NA	NA
171.6085	NA	NA
180.5750	NA	NA
182.2710	NA	NA
191.6025	NA	NA
191.6985	NA	NA
199.2105	NA	NA
212.2760	NA	NA
212.2820	NA	NA
212.2880	NA	NA
212.2940	NA	NA
212.3000	NA	NA
212.3055	NA	NA
212.3125	NA	NA
212.3195	NA	NA
212.3275	NA	NA
212.3360	NA	NA
212.3450	NA	NA
212.3565	NA	NA
212.3720	NA	NA
212.3900	NA	NA
212.4170	NA	NA
212.4305	NA	NA
212.4820	NA	NA
214.2665	NA	NA
225.5920	NA	NA
238.1675	NA	NA
239.5990	NA	NA
253.2210	NA	NA
254.5460	NA	NA
258.8805	NA	NA
261.7730	NA	NA
270.4990	NA	NA
272.3005	NA	NA
272.3065	NA	NA
272.3125	NA	NA
272.3180	NA	NA
