spike times	Vanne1 ON	Vanne1 OFF
30.0470	30.0245	30.2250
30.0535	90.2265	90.2464
30.0600	150.2485	152.2495
30.0665	212.2505	212.4509
30.0730	272.4530	272.4735
30.0785	332.4745	334.4754
30.0845	394.4775	394.6780
30.0905	454.6800	454.6999
30.0965	514.7015	516.7020
30.1040	576.7040	576.9045
30.1105	636.9055	636.9264
30.1180	696.9285	698.9289
30.1260	758.9300	759.1305
30.1340	819.1325	819.1529
30.1440	879.1540	881.1545
30.1515	NA	NA
30.1585	NA	NA
30.1695	NA	NA
30.1795	NA	NA
30.1890	NA	NA
30.1985	NA	NA
30.2125	NA	NA
30.2230	NA	NA
30.2325	NA	NA
30.2490	NA	NA
30.2605	NA	NA
30.2735	NA	NA
30.7920	NA	NA
30.8210	NA	NA
31.2060	NA	NA
31.6460	NA	NA
31.7035	NA	NA
31.9780	NA	NA
32.2155	NA	NA
32.5560	NA	NA
32.6175	NA	NA
32.7045	NA	NA
32.8815	NA	NA
33.1025	NA	NA
34.4010	NA	NA
35.1080	NA	NA
35.4265	NA	NA
35.7170	NA	NA
36.0655	NA	NA
36.5490	NA	NA
37.3080	NA	NA
37.6640	NA	NA
38.1600	NA	NA
38.1930	NA	NA
38.3485	NA	NA
39.1115	NA	NA
39.4075	NA	NA
40.6450	NA	NA
40.9555	NA	NA
42.1410	NA	NA
42.7005	NA	NA
42.7505	NA	NA
43.0780	NA	NA
44.0330	NA	NA
44.2005	NA	NA
44.4480	NA	NA
44.5315	NA	NA
45.2980	NA	NA
45.7610	NA	NA
46.0045	NA	NA
46.1855	NA	NA
46.6405	NA	NA
46.8420	NA	NA
47.2570	NA	NA
47.5845	NA	NA
47.7750	NA	NA
48.2165	NA	NA
48.7300	NA	NA
48.9420	NA	NA
49.2280	NA	NA
50.1105	NA	NA
53.3030	NA	NA
53.7880	NA	NA
58.1125	NA	NA
58.3985	NA	NA
59.3860	NA	NA
60.6740	NA	NA
61.1600	NA	NA
63.1240	NA	NA
63.3140	NA	NA
64.2910	NA	NA
64.7910	NA	NA
65.4910	NA	NA
66.7515	NA	NA
67.2830	NA	NA
67.6630	NA	NA
67.9290	NA	NA
69.5315	NA	NA
70.7045	NA	NA
71.7415	NA	NA
73.8830	NA	NA
76.5100	NA	NA
76.6910	NA	NA
78.0555	NA	NA
80.8940	NA	NA
82.3505	NA	NA
90.2495	NA	NA
90.2580	NA	NA
90.2640	NA	NA
90.2715	NA	NA
90.2785	NA	NA
90.2865	NA	NA
90.2950	NA	NA
90.3060	NA	NA
90.3155	NA	NA
90.3295	NA	NA
90.3420	NA	NA
90.3635	NA	NA
90.4265	NA	NA
90.9015	NA	NA
90.9395	NA	NA
92.0030	NA	NA
92.3640	NA	NA
92.4775	NA	NA
92.6945	NA	NA
92.8680	NA	NA
93.7335	NA	NA
95.7325	NA	NA
95.7970	NA	NA
95.9955	NA	NA
99.0245	NA	NA
101.7710	NA	NA
103.8995	NA	NA
110.8615	NA	NA
111.3240	NA	NA
113.3250	NA	NA
114.9770	NA	NA
129.3460	NA	NA
129.7775	NA	NA
131.3355	NA	NA
135.4725	NA	NA
136.2750	NA	NA
136.3665	NA	NA
138.1375	NA	NA
138.2740	NA	NA
144.8265	NA	NA
144.9460	NA	NA
149.2510	NA	NA
150.2685	NA	NA
150.2815	NA	NA
150.2885	NA	NA
150.2960	NA	NA
150.3030	NA	NA
150.3090	NA	NA
150.3155	NA	NA
150.3225	NA	NA
150.3300	NA	NA
150.3365	NA	NA
150.3440	NA	NA
150.3515	NA	NA
