spike times	Vanne1 ON	Vanne1 OFF
30.0580	30.0190	32.0200
30.0635	92.0210	92.2214
30.0695	152.2235	152.2439
30.0750	212.2450	214.2454
30.0815	274.2480	274.4484
30.0880	334.4490	334.4699
30.0950	394.4720	396.4724
30.1025	456.4745	456.6739
30.1115	516.6760	516.6965
30.1215	576.6990	578.6994
30.1415	638.7005	638.9009
30.1525	698.9030	698.9235
30.1770	758.9245	760.9254
30.2220	820.9270	821.1274
30.2385	881.1290	881.1495
30.2610	NA	NA
30.2780	NA	NA
30.2975	NA	NA
30.3455	NA	NA
30.3625	NA	NA
30.4260	NA	NA
30.4545	NA	NA
30.4845	NA	NA
30.5270	NA	NA
30.5580	NA	NA
30.5840	NA	NA
30.6390	NA	NA
30.6585	NA	NA
30.7030	NA	NA
30.7415	NA	NA
30.7740	NA	NA
30.7915	NA	NA
30.8080	NA	NA
30.8680	NA	NA
30.8860	NA	NA
30.9560	NA	NA
31.0170	NA	NA
31.0425	NA	NA
31.0800	NA	NA
31.1440	NA	NA
31.1740	NA	NA
31.2230	NA	NA
31.2525	NA	NA
31.2690	NA	NA
31.3290	NA	NA
31.3465	NA	NA
31.3985	NA	NA
31.4545	NA	NA
31.5325	NA	NA
31.5945	NA	NA
31.6300	NA	NA
31.6645	NA	NA
31.6960	NA	NA
31.7795	NA	NA
31.8070	NA	NA
31.8415	NA	NA
31.8945	NA	NA
31.9460	NA	NA
32.0145	NA	NA
33.6015	NA	NA
34.3525	NA	NA
50.2940	NA	NA
92.0595	NA	NA
92.0660	NA	NA
92.0720	NA	NA
92.0780	NA	NA
92.0845	NA	NA
92.0920	NA	NA
92.1005	NA	NA
92.1090	NA	NA
92.1190	NA	NA
92.1285	NA	NA
92.1450	NA	NA
92.1650	NA	NA
92.1895	NA	NA
92.2190	NA	NA
92.2425	NA	NA
108.9315	NA	NA
127.6135	NA	NA
139.5700	NA	NA
144.4840	NA	NA
152.2625	NA	NA
152.2680	NA	NA
152.2745	NA	NA
152.2815	NA	NA
152.2900	NA	NA
152.3035	NA	NA
196.1705	NA	NA
212.2820	NA	NA
212.2875	NA	NA
212.2935	NA	NA
212.3005	NA	NA
212.3085	NA	NA
212.3165	NA	NA
212.3240	NA	NA
212.3315	NA	NA
212.3400	NA	NA
212.3515	NA	NA
212.3625	NA	NA
212.3750	NA	NA
212.3925	NA	NA
212.4140	NA	NA
212.4305	NA	NA
212.4505	NA	NA
212.4700	NA	NA
212.5050	NA	NA
212.5270	NA	NA
212.5560	NA	NA
212.5750	NA	NA
212.6045	NA	NA
212.6370	NA	NA
212.6995	NA	NA
212.7210	NA	NA
212.7630	NA	NA
212.7820	NA	NA
212.8150	NA	NA
212.8730	NA	NA
212.9160	NA	NA
212.9340	NA	NA
213.0250	NA	NA
213.0510	NA	NA
213.0700	NA	NA
213.1285	NA	NA
213.1645	NA	NA
213.1805	NA	NA
213.1990	NA	NA
213.2470	NA	NA
213.2945	NA	NA
213.3160	NA	NA
213.4190	NA	NA
213.4450	NA	NA
213.4580	NA	NA
213.4760	NA	NA
213.5260	NA	NA
213.6175	NA	NA
213.6375	NA	NA
213.6625	NA	NA
213.7025	NA	NA
213.7485	NA	NA
213.7645	NA	NA
213.8315	NA	NA
213.8805	NA	NA
213.9430	NA	NA
213.9610	NA	NA
213.9765	NA	NA
214.0475	NA	NA
214.0680	NA	NA
214.1005	NA	NA
214.2220	NA	NA
214.2475	NA	NA
214.2720	NA	NA
215.4390	NA	NA
216.1980	NA	NA
216.9475	NA	NA
217.5725	NA	NA
217.8955	NA	NA
219.2560	NA	NA
219.7720	NA	NA
222.8830	NA	NA
238.9170	NA	NA
274.2885	NA	NA
274.2940	NA	NA
274.3005	NA	NA
274.3070	NA	NA
274.3140	NA	NA
274.3205	NA	NA
274.3270	NA	NA
274.3340	NA	NA
274.3410	NA	NA
274.3520	NA	NA
274.3615	NA	NA
274.3735	NA	NA
274.3850	NA	NA
274.4085	NA	NA
274.4290	NA	NA
274.4540	NA	NA
274.4765	NA	NA
274.5160	NA	NA
275.5255	NA	NA
276.8395	NA	NA
278.9860	NA	NA
282.0390	NA	NA
292.3630	NA	NA
294.6655	NA	NA
296.4265	NA	NA
297.5885	NA	NA
297.6125	NA	NA
333.4810	NA	NA
333.5175	NA	NA
334.4935	NA	NA
334.5010	NA	NA
334.5100	NA	NA
334.5205	NA	NA
334.5305	NA	NA
334.5405	NA	NA
334.5875	NA	NA
336.7605	NA	NA
346.0160	NA	NA
362.9335	NA	NA
390.5325	NA	NA
394.5235	NA	NA
394.5295	NA	NA
394.5365	NA	NA
394.5445	NA	NA
394.5505	NA	NA
394.5570	NA	NA
394.5640	NA	NA
394.5710	NA	NA
394.5800	NA	NA
394.5915	NA	NA
394.6060	NA	NA
394.6155	NA	NA
394.6295	NA	NA
394.6470	NA	NA
394.6685	NA	NA
394.6865	NA	NA
394.7030	NA	NA
394.7175	NA	NA
394.7325	NA	NA
394.7560	NA	NA
394.7805	NA	NA
394.8080	NA	NA
394.8400	NA	NA
394.8635	NA	NA
394.8815	NA	NA
394.9055	NA	NA
394.9640	NA	NA
395.0095	NA	NA
395.0405	NA	NA
395.0550	NA	NA
395.0995	NA	NA
395.1260	NA	NA
395.1425	NA	NA
395.1830	NA	NA
395.2185	NA	NA
395.2545	NA	NA
395.2815	NA	NA
395.3245	NA	NA
395.4045	NA	NA
395.4375	NA	NA
395.4520	NA	NA
395.4735	NA	NA
395.5150	NA	NA
395.5450	NA	NA
395.5705	NA	NA
395.5915	NA	NA
395.6565	NA	NA
395.6795	NA	NA
395.7010	NA	NA
395.7895	NA	NA
395.8045	NA	NA
395.8260	NA	NA
395.8755	NA	NA
395.9070	NA	NA
395.9350	NA	NA
396.0125	NA	NA
396.0345	NA	NA
396.0625	NA	NA
396.0945	NA	NA
396.1325	NA	NA
396.1940	NA	NA
396.2300	NA	NA
396.2820	NA	NA
396.3785	NA	NA
396.3895	NA	NA
396.4160	NA	NA
396.4545	NA	NA
396.4745	NA	NA
397.4495	NA	NA
397.5025	NA	NA
397.9940	NA	NA
398.6755	NA	NA
398.9385	NA	NA
401.8260	NA	NA
401.8715	NA	NA
402.6805	NA	NA
402.7035	NA	NA
403.4930	NA	NA
403.9985	NA	NA
404.9610	NA	NA
408.7015	NA	NA
412.5600	NA	NA
414.2990	NA	NA
417.3515	NA	NA
439.9755	NA	NA
440.0225	NA	NA
441.2670	NA	NA
445.2770	NA	NA
448.3670	NA	NA
448.8090	NA	NA
448.8295	NA	NA
940.2975	NA	NA
